step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
5000,837,-52.6301,-inf,6.0,0.200000
10000,1296,-53.8253,-inf,7.7,0.199880
15000,634,-58.1692,-inf,23.6,0.137882
20000,550,-54.1729,-inf,36.3,0.096487
25000,349,-44.1992,-7.4397,71.6,0.068935
30000,332,-28.5518,-7.4397,90.2,0.050042
35000,331,-23.1921,-7.4397,105.6,0.036845
40000,322,-19.4932,-7.4397,123.8,0.027499
45000,299,-17.8626,-7.4397,150.5,0.020923
50000,300,-16.4376,-7.4397,166.6,0.016607
55000,293,-17.9506,-7.4397,187.6,0.014173
60000,254,-16.6008,-7.4397,235.6,0.013153
65000,246,-16.8903,-7.4397,263.2,0.012877
70000,248,-15.5013,-7.4397,281.6,0.012424
75000,250,-18.5893,-7.4397,299.5,0.012179
80000,250,-16.7687,-7.4397,319.2,0.011939
85000,246,-16.7691,-7.4397,344.7,0.011829
90000,246,-17.8497,-7.4397,364.6,0.011458
95000,247,-17.6788,-7.4397,384.1,0.011671
100000,248,-17.9470,-7.4397,402.4,0.011254
105000,236,-16.3075,-7.4397,444.2,0.010971
110000,235,-14.0011,-7.4397,466.9,0.010928
115000,239,-15.1638,-7.4397,480.0,0.010707
120000,243,-17.9716,-7.4397,493.0,0.010618
125000,243,-18.1323,-5.8466,513.5,0.010562
130000,241,-16.9574,-5.8466,537.9,0.010500
135000,237,-14.8763,-5.8466,568.3,0.010353
140000,234,-12.2469,-5.8466,597.9,0.010341
145000,226,-10.9679,-4.9625,641.3,0.010318
150000,224,-11.4246,-4.9625,667.8,0.010368
155000,223,-14.7299,-4.9625,694.4,0.010365
160000,221,-16.5381,-4.9625,722.4,0.010317
165000,217,-14.5249,-4.9154,758.8,0.010217
170000,216,-16.5657,-4.9154,786.3,0.010196
175000,215,-16.5217,-4.9154,813.8,0.010187
180000,214,-14.6346,-4.9154,839.8,0.010387
185000,211,-13.4757,-4.9154,875.7,0.010454
190000,209,-11.7781,-4.9154,905.4,0.010168
195000,208,-11.7790,-4.9154,933.9,0.010224
200000,208,-11.1454,-4.9154,961.1,0.010074
205000,204,-10.2177,-3.6869,1000.6,0.010074
210000,204,-15.8317,-3.6869,1029.0,0.010014
215000,203,-15.8638,-3.6869,1054.3,0.009946
220000,203,-13.1455,-3.6869,1082.7,0.009853
225000,200,-11.5833,-3.2666,1121.3,0.009988
230000,200,-12.1370,-3.2666,1147.9,0.009986
235000,199,-11.0153,-3.2666,1177.2,0.009921
240000,199,-8.2776,-3.2666,1204.7,0.010006
245000,197,-7.5394,-3.2666,1241.4,0.009976
250000,197,-10.8205,-3.2666,1268.1,0.010054
255000,196,-10.6030,-3.2666,1294.9,0.010045
260000,196,-9.5739,-3.2666,1322.2,0.009981
265000,195,-10.5313,-3.2666,1358.2,0.010064
270000,195,-10.1409,-3.2666,1384.6,0.010035
275000,194,-7.7877,-3.2666,1414.4,0.010078
280000,194,-6.7284,-3.2666,1442.6,0.010175
285000,192,-10.6423,-3.2666,1483.0,0.010160
290000,192,-11.6543,-3.2666,1510.2,0.010298
295000,191,-9.5428,-3.2666,1538.0,0.010309
300000,191,-7.9615,-3.2666,1565.6,0.010328
305000,190,-9.0573,-3.2666,1602.5,0.010179
310000,190,-7.7529,-3.2666,1629.6,0.010143
315000,190,-7.1909,-3.2666,1653.3,0.010215
320000,190,-7.5837,-3.2666,1679.3,0.010210
325000,189,-5.9921,-1.6730,1714.5,0.010281
330000,189,-4.5009,-1.6730,1740.5,0.010344
335000,189,-3.0752,-1.6730,1764.8,0.010253
340000,189,-7.7308,-1.6730,1789.6,0.010354
345000,189,-7.0876,-1.6730,1823.7,0.010358
350000,189,-5.2557,-1.6730,1849.9,0.010329
355000,189,-5.8539,-1.6730,1875.0,0.010324
360000,189,-4.5074,-1.6730,1901.7,0.010293
365000,188,-7.7388,-1.6730,1937.0,0.010294
370000,188,-7.7327,-1.6730,1963.8,0.010206
375000,188,-6.7581,-1.6730,1994.4,0.010161
380000,187,-7.7070,-1.6730,2023.4,0.010370
385000,186,-6.6325,-1.6730,2064.5,0.010310
390000,186,-5.2263,-1.6730,2095.9,0.010346
395000,185,-7.6480,-1.6730,2125.5,0.010397
400000,185,-9.1002,-1.6730,2154.2,0.010342
405000,184,-7.1450,-1.6730,2193.4,0.010245
410000,184,-4.2135,-1.6730,2224.3,0.010131
415000,184,-6.0644,-1.6730,2254.6,0.009979
420000,183,-6.0820,-1.6730,2284.3,0.010206
425000,183,-5.3214,0.6977,2318.9,0.010091
430000,183,-6.3460,0.6977,2345.6,0.010160
435000,183,-6.0992,0.6977,2373.2,0.010196
440000,183,-4.0761,0.6977,2402.0,0.010294
445000,182,-6.5843,0.6977,2441.6,0.010291
450000,182,-6.8111,0.6977,2468.6,0.010390
455000,182,-8.1456,0.6977,2499.2,0.010279
460000,181,-9.1277,0.6977,2528.5,0.010349
465000,181,-7.5790,0.6977,2567.9,0.010243
470000,180,-6.0810,0.6977,2597.0,0.010237
475000,179,-7.1185,0.6977,2651.4,0.010293
480000,178,-3.8245,0.6977,2686.9,0.010309
485000,178,-0.3837,0.6977,2712.3,0.010345
490000,179,-1.0575,0.6977,2728.0,0.010275
495000,180,2.0066,0.6977,2745.9,0.010281
500000,180,-2.0393,0.6977,2764.8,0.010074
