step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
5000,1115,-41.8283,-inf,4.5,0.200000
10000,1806,-46.0415,-inf,5.5,0.199880
15000,440,-46.5890,-inf,34.0,0.138070
20000,330,-42.6833,-inf,60.5,0.097069
25000,249,-34.5738,-8.8008,100.2,0.069380
30000,232,-19.6117,-8.8008,129.0,0.050102
35000,221,-13.9918,-8.8008,158.3,0.036608
40000,207,-12.0794,-8.8008,192.3,0.027122
45000,191,-15.3497,-5.8085,235.1,0.020538
50000,188,-15.5342,-5.8085,265.2,0.015994
55000,185,-14.6563,-5.8085,297.1,0.012997
60000,182,-14.8325,-5.8085,328.3,0.011294
65000,174,-17.6959,-5.8085,372.9,0.010900
70000,172,-17.7848,-5.8085,404.6,0.010865
75000,172,-20.0093,-5.8085,435.3,0.010763
80000,172,-19.9236,-5.8085,463.6,0.010888
85000,167,-18.5350,-5.0277,506.1,0.010955
90000,168,-12.0047,-5.0277,533.5,0.010798
95000,170,-10.8472,-5.0277,558.6,0.010769
100000,170,-11.4418,-5.0277,585.2,0.010513
105000,169,-12.0689,-4.0917,620.1,0.010101
110000,169,-12.4210,-4.0917,650.8,0.010092
115000,168,-12.5330,-4.0917,681.8,0.009844
120000,168,-13.0019,-4.0917,713.6,0.009904
125000,165,-11.5128,-2.9359,753.5,0.009958
130000,166,-9.9781,-2.9359,780.7,0.009648
135000,167,-9.6484,-2.9359,806.5,0.009750
140000,167,-11.0461,-2.9359,837.7,0.009574
145000,164,-10.8014,-2.9359,880.2,0.009588
150000,164,-11.6355,-2.9359,913.5,0.009539
155000,164,-14.1550,-2.9359,941.1,0.009484
160000,165,-12.4466,-2.9359,969.6,0.009482
165000,163,-10.0209,-2.9359,1009.2,0.009375
170000,163,-8.8529,-2.9359,1039.5,0.009294
175000,163,-9.5570,-2.9359,1070.0,0.009111
180000,164,-8.9062,-2.9359,1094.8,0.008962
185000,162,-9.0010,-2.9359,1137.3,0.008736
190000,162,-10.0017,-2.9359,1167.9,0.008679
195000,162,-11.8182,-2.9359,1198.1,0.008607
200000,163,-9.2791,-2.9359,1226.6,0.008692
205000,162,-9.6269,-2.9359,1263.7,0.008703
210000,162,-8.8484,-2.9359,1291.6,0.008810
215000,162,-6.8662,-2.9359,1319.6,0.008733
220000,163,-9.3143,-2.9359,1349.2,0.008821
225000,162,-7.9626,-2.4744,1388.3,0.008768
230000,162,-7.1594,-2.4744,1418.3,0.009043
235000,162,-10.2805,-2.4744,1447.0,0.008964
240000,162,-10.1699,-2.4744,1476.8,0.008904
245000,161,-7.5630,-1.9327,1513.9,0.009000
250000,162,-6.5177,-1.9327,1541.9,0.008990
255000,162,-8.6594,-1.9327,1572.5,0.009038
260000,161,-7.1621,-1.9327,1606.4,0.009028
265000,160,-7.8121,-1.9327,1654.4,0.009085
270000,160,-8.9186,-1.9327,1686.9,0.008961
275000,159,-5.5315,-1.9327,1721.6,0.008857
280000,159,-5.1438,-1.9327,1756.2,0.008925
285000,158,-9.8074,-1.7541,1802.3,0.008960
290000,158,-7.9860,-1.7541,1835.2,0.008893
295000,157,-5.4314,-1.7541,1869.7,0.008871
300000,157,-5.2235,-1.7541,1907.3,0.008785
305000,155,-6.1209,-1.6109,1956.7,0.008840
310000,155,-6.2974,-1.6109,1995.5,0.008867
315000,154,-7.0273,-1.6109,2033.9,0.008897
320000,154,-6.5100,-1.6109,2069.0,0.008924
325000,153,-8.3887,-1.6109,2115.9,0.008804
330000,153,-8.8757,-1.6109,2149.7,0.008909
335000,153,-6.5631,-1.6109,2182.5,0.008876
340000,153,-8.5994,-1.6109,2215.5,0.008846
345000,152,-8.6969,-1.5715,2261.7,0.008722
350000,152,-5.7308,-1.5715,2290.8,0.008826
355000,153,-4.3609,-1.5715,2308.2,0.008797
360000,153,-4.5610,-1.5715,2338.1,0.008598
365000,152,-4.5994,-1.1870,2388.9,0.008773
370000,152,-6.0792,-1.1870,2422.3,0.008766
375000,152,-8.2623,-1.1870,2455.5,0.008866
380000,152,-8.4755,-1.1870,2486.2,0.008644
385000,151,-6.7511,-1.1870,2533.9,0.008718
390000,151,-5.7764,-1.1870,2568.1,0.008565
395000,151,-5.4474,-1.1870,2606.8,0.008565
400000,151,-3.0146,-1.1870,2642.4,0.008730
405000,150,-0.6331,-0.4977,2691.8,0.008597
410000,150,-2.3366,-0.4977,2726.6,0.008591
415000,150,-4.0371,-0.4977,2764.4,0.008664
420000,149,-2.2340,-0.4977,2803.3,0.008525
