step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
5000,980,-47.7332,-inf,5.1,0.100000
10000,1658,-54.4330,-inf,6.0,0.100000
15000,745,-58.1528,-inf,20.1,0.100000
20000,480,-53.4791,-inf,41.6,0.100000
25000,357,-45.7818,-7.9300,69.9,0.100000
30000,335,-31.0743,-7.9300,89.4,0.100000
35000,313,-21.7906,-7.9300,111.8,0.100000
40000,301,-20.7521,-7.9300,132.5,0.100000
45000,275,-23.4608,-7.3628,163.6,0.100000
50000,281,-24.2858,-7.3628,177.9,0.100000
55000,281,-23.1657,-7.3628,195.2,0.100000
60000,278,-21.0673,-7.3628,215.5,0.100000
65000,268,-20.0011,-5.6072,241.7,0.100000
70000,268,-19.8846,-5.6072,260.9,0.100000
75000,271,-17.6720,-5.6072,276.2,0.100000
80000,273,-18.0122,-5.6072,292.2,0.100000
85000,269,-15.5794,-5.6072,315.8,0.100000
90000,273,-17.1384,-5.6072,329.6,0.100000
95000,275,-18.9623,-5.6072,344.7,0.100000
100000,277,-21.1587,-5.6072,360.8,0.100000
105000,273,-18.2014,-3.7006,384.6,0.100000
110000,276,-16.3918,-3.7006,398.5,0.100000
115000,276,-16.6104,-3.7006,416.6,0.100000
120000,278,-15.7462,-3.7006,430.2,0.100000
125000,275,-15.3306,-3.7006,453.2,0.100000
130000,275,-17.2601,-3.7006,471.7,0.100000
135000,277,-18.3958,-3.7006,486.1,0.100000
140000,279,-20.7066,-3.7006,501.6,0.100000
145000,275,-20.5563,-3.7006,525.7,0.100000
150000,277,-19.5134,-3.7006,540.3,0.100000
155000,279,-16.9993,-3.7006,554.3,0.100000
160000,281,-14.6237,-3.7006,568.2,0.100000
165000,279,-17.6942,-3.7006,590.0,0.100000
170000,279,-19.4415,-3.7006,608.5,0.100000
175000,280,-18.3464,-3.7006,625.0,0.100000
180000,280,-15.5296,-3.7006,642.0,0.100000
185000,276,-12.5917,-3.7006,667.9,0.100000
190000,277,-14.7168,-3.7006,684.8,0.100000
195000,277,-16.6213,-3.7006,703.4,0.100000
200000,278,-16.0778,-3.7006,718.2,0.100000
205000,276,-15.4073,-3.7006,741.8,0.100000
210000,277,-14.4136,-3.7006,756.3,0.100000
215000,278,-14.8524,-3.7006,771.5,0.100000
220000,279,-14.5976,-3.7006,786.4,0.100000
225000,278,-15.2410,-3.7006,808.5,0.100000
230000,279,-18.0857,-3.7006,822.9,0.100000
235000,280,-19.9970,-3.7006,837.9,0.100000
240000,280,-19.9610,-3.7006,854.2,0.100000
245000,279,-20.1635,-3.7006,878.1,0.100000
250000,278,-19.3051,-3.7006,896.6,0.100000
255000,278,-15.1941,-3.7006,914.1,0.100000
260000,279,-14.9503,-3.7006,929.1,0.100000
265000,278,-14.5793,-2.4524,951.5,0.100000
270000,278,-16.0160,-2.4524,970.6,0.100000
275000,278,-15.5579,-2.4524,987.3,0.100000
280000,279,-17.1988,-2.4524,1002.6,0.100000
285000,277,-17.5491,-2.4433,1026.7,0.100000
290000,277,-18.9062,-2.4433,1043.9,0.100000
295000,277,-17.5445,-2.4433,1064.4,0.100000
300000,277,-18.0007,-2.4433,1080.6,0.100000
305000,275,-17.1907,-1.8391,1108.3,0.100000
310000,274,-18.0936,-1.8391,1128.9,0.100000
315000,275,-16.0269,-1.8391,1144.9,0.100000
320000,275,-10.5709,-1.8391,1160.0,0.100000
325000,274,-10.7199,-1.8391,1183.9,0.100000
330000,273,-12.6629,-1.8391,1204.4,0.100000
335000,274,-12.3800,-1.8391,1222.0,0.100000
340000,274,-12.7750,-1.8391,1240.3,0.100000
345000,272,-16.2134,-1.8391,1265.2,0.100000
350000,273,-16.7847,-1.8391,1280.1,0.100000
355000,274,-12.7283,-1.8391,1294.2,0.100000
360000,275,-11.2957,-1.8391,1309.1,0.100000
365000,274,-12.5954,-1.8391,1329.9,0.100000
370000,274,-11.3085,-1.8391,1346.4,0.100000
375000,275,-9.8041,-1.8391,1362.6,0.100000
380000,274,-9.8037,-1.8391,1382.9,0.100000
385000,273,-13.5554,-1.7816,1410.0,0.100000
390000,272,-14.2268,-1.7816,1429.5,0.100000
395000,272,-16.6933,-1.7816,1447.8,0.100000
400000,272,-15.2799,-1.7816,1467.8,0.100000
405000,270,-18.7250,-1.7816,1497.0,0.100000
410000,271,-15.2139,-1.7816,1512.9,0.100000
415000,271,-14.4609,-1.7816,1529.6,0.100000
420000,271,-14.2545,-1.7816,1549.0,0.100000
425000,270,-13.1709,-1.4604,1572.9,0.100000
430000,270,-12.9446,-1.4604,1588.4,0.100000
435000,271,-13.3219,-1.4604,1605.1,0.100000
440000,270,-13.0771,-1.4604,1625.6,0.100000
445000,269,-11.1792,-1.4604,1653.8,0.100000
450000,268,-9.6896,-1.4604,1674.3,0.100000
