step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
5000,1006,-43.3186,-inf,5.0,0.200000
10000,1673,-52.0888,-inf,6.0,0.200000
15000,820,-55.8420,-inf,18.3,0.200000
20000,644,-57.7491,-inf,31.0,0.200000
25000,504,-53.8991,-8.0667,49.5,0.200000
30000,492,-44.7835,-8.0667,61.0,0.200000
35000,479,-31.7837,-8.0667,73.0,0.200000
40000,456,-26.9433,-8.0667,87.7,0.200000
45000,399,-22.4631,-8.0667,112.8,0.200000
50000,313,-23.7565,-8.0667,159.7,0.200000
55000,312,-21.9612,-8.0667,175.7,0.200000
60000,314,-21.9608,-8.0667,190.6,0.200000
65000,301,-21.5889,-5.3064,215.5,0.200000
70000,301,-24.1984,-5.3064,232.0,0.200000
75000,306,-24.3785,-5.3064,244.9,0.200000
80000,310,-24.3953,-5.3064,257.4,0.200000
85000,304,-25.2101,-5.3064,279.6,0.200000
90000,307,-26.0701,-5.3064,292.7,0.200000
95000,306,-25.0366,-5.3064,310.2,0.200000
100000,306,-21.7796,-5.3064,326.1,0.200000
105000,286,-19.4867,-5.3064,366.6,0.200000
110000,280,-21.5789,-5.3064,391.7,0.200000
115000,274,-26.1103,-5.3064,418.3,0.200000
120000,269,-25.8500,-5.3064,445.7,0.200000
125000,257,-22.9955,-5.3064,484.8,0.200000
130000,254,-23.9706,-5.3064,511.2,0.200000
135000,249,-22.7108,-5.3064,540.0,0.200000
140000,247,-24.4141,-5.3064,565.9,0.200000
145000,239,-25.9675,-5.3064,605.3,0.200000
150000,239,-27.1240,-5.3064,626.7,0.200000
155000,237,-24.6015,-5.3064,652.4,0.200000
160000,236,-23.2968,-5.3064,677.4,0.200000
165000,230,-26.1565,-5.3064,715.9,0.200000
170000,229,-22.7695,-5.3064,740.4,0.200000
175000,229,-22.3198,-5.3064,764.0,0.200000
180000,228,-24.0117,-5.3064,787.4,0.200000
185000,223,-23.5038,-5.3064,826.7,0.200000
190000,222,-23.1337,-5.3064,853.7,0.200000
195000,221,-23.4554,-5.3064,879.0,0.200000
200000,221,-25.2018,-5.3064,901.6,0.200000
205000,216,-21.8354,-5.3064,945.7,0.200000
210000,215,-19.4574,-5.3064,973.1,0.200000
215000,215,-18.7141,-5.3064,997.9,0.200000
220000,214,-21.5994,-5.3064,1023.4,0.200000
225000,212,-20.9715,-4.5278,1059.4,0.200000
230000,212,-19.1804,-4.5278,1084.8,0.200000
235000,211,-18.4458,-4.5278,1110.6,0.200000
240000,211,-22.9518,-4.5278,1135.4,0.200000
245000,209,-22.9364,-4.5278,1172.1,0.200000
250000,208,-21.9799,-4.5278,1196.2,0.200000
255000,209,-20.0465,-4.5278,1219.9,0.200000
260000,208,-21.0241,-4.5278,1244.4,0.200000
265000,206,-22.0612,-4.5278,1280.6,0.200000
270000,207,-24.7660,-4.5278,1303.7,0.200000
275000,207,-24.0713,-4.5278,1328.3,0.200000
280000,206,-24.2574,-4.5278,1355.7,0.200000
285000,204,-22.2160,-4.5278,1394.1,0.200000
290000,204,-19.2281,-4.5278,1419.2,0.200000
295000,204,-20.7181,-4.5278,1443.9,0.200000
300000,204,-20.8985,-4.5278,1468.6,0.200000
305000,202,-22.0309,-4.5278,1506.2,0.200000
310000,202,-20.6597,-4.5278,1530.3,0.200000
315000,202,-19.8449,-4.5278,1555.3,0.200000
320000,202,-21.5584,-4.5278,1577.8,0.200000
325000,201,-26.3546,-4.5247,1613.5,0.200000
330000,201,-26.4332,-4.5247,1635.9,0.200000
335000,201,-25.2623,-4.5247,1660.3,0.200000
340000,202,-22.3177,-4.5247,1682.8,0.200000
345000,200,-21.0614,-4.5247,1721.8,0.200000
350000,200,-22.6155,-4.5247,1744.1,0.200000
355000,200,-21.7099,-4.5247,1766.2,0.200000
360000,201,-24.5012,-4.5247,1790.8,0.200000
365000,199,-24.1389,-4.5247,1831.0,0.200000
370000,199,-23.2322,-4.5247,1854.0,0.200000
375000,199,-19.7638,-4.5247,1877.4,0.200000
380000,199,-20.6181,-4.5247,1903.5,0.200000
385000,197,-19.6146,-4.5247,1946.4,0.200000
390000,197,-20.9574,-4.5247,1972.8,0.200000
395000,197,-22.1211,-4.5247,2001.2,0.200000
400000,197,-22.3117,-4.5247,2029.3,0.200000
405000,195,-22.6427,-4.5247,2071.0,0.200000
410000,195,-21.9750,-4.5247,2097.1,0.200000
415000,195,-21.8574,-4.5247,2124.2,0.200000
420000,195,-21.0329,-4.5247,2152.3,0.200000
425000,193,-21.6760,-4.5247,2196.9,0.200000
430000,193,-21.2994,-4.5247,2223.1,0.200000
435000,193,-21.9391,-4.5247,2247.8,0.200000
440000,193,-22.8469,-4.5247,2272.3,0.200000
445000,192,-24.0690,-4.5247,2314.9,0.200000
450000,192,-25.4022,-4.5247,2339.7,0.200000
455000,192,-26.2474,-4.5247,2365.3,0.200000
460000,192,-25.3990,-4.5247,2391.4,0.200000
465000,190,-24.8450,-4.5247,2435.1,0.200000
470000,190,-20.0849,-4.5247,2460.8,0.200000
475000,191,-21.0610,-4.5247,2486.5,0.200000
480000,190,-23.0350,-4.5247,2514.4,0.200000
485000,187,-24.1842,-4.5247,2581.2,0.200000
490000,187,-23.0113,-4.5247,2617.7,0.200000
495000,188,-21.2188,-4.5247,2629.8,0.200000
500000,189,-20.2716,-4.5247,2643.0,0.200000
505000,189,-21.0748,-4.5247,2667.2,0.200000
510000,190,-22.4137,-4.5247,2680.5,0.200000
515000,191,-24.8545,-4.5247,2693.8,0.200000
520000,192,-24.8458,-4.5247,2706.2,0.200000
525000,192,-23.8979,-4.5247,2730.7,0.200000
530000,193,-21.3002,-4.5247,2744.0,0.200000
535000,194,-19.5320,-4.5247,2757.2,0.200000
