step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
5000,622,-50.5662,-inf,8.0,0.100000
10000,1077,-50.8973,-inf,9.3,0.100000
15000,451,-55.1642,-inf,33.2,0.100000
20000,354,-45.1506,-inf,56.5,0.100000
25000,258,-38.2254,-13.9604,96.5,0.100000
30000,244,-26.9724,-13.9604,122.8,0.100000
35000,233,-24.6462,-13.9604,149.8,0.100000
40000,221,-19.8860,-13.9604,180.3,0.100000
45000,203,-17.6786,-7.4321,221.0,0.100000
50000,201,-17.6590,-7.4321,247.9,0.100000
55000,199,-17.6094,-7.4321,276.3,0.100000
60000,196,-19.4356,-7.4321,304.7,0.100000
65000,186,-17.7695,-5.6519,349.1,0.100000
70000,184,-18.0839,-5.6519,379.5,0.100000
75000,184,-17.2280,-5.6519,407.4,0.100000
80000,184,-18.7349,-5.6519,433.9,0.100000
85000,179,-20.6704,-5.6519,473.0,0.100000
90000,180,-20.1225,-5.6519,497.8,0.100000
95000,181,-18.1359,-5.6519,522.1,0.100000
100000,183,-17.2833,-5.6519,545.8,0.100000
105000,180,-18.4963,-5.6519,580.3,0.100000
110000,182,-19.1556,-5.6519,603.9,0.100000
115000,182,-20.8605,-5.6519,629.6,0.100000
120000,182,-21.4954,-5.6519,658.4,0.100000
125000,178,-19.7398,-5.6519,700.7,0.100000
130000,178,-16.4542,-5.6519,728.6,0.100000
135000,179,-15.1512,-5.6519,753.6,0.100000
140000,179,-16.1731,-5.6519,778.5,0.100000
145000,177,-14.4445,-5.0641,818.1,0.100000
150000,177,-11.6599,-5.0641,846.1,0.100000
155000,177,-11.9486,-5.0641,874.7,0.100000
160000,176,-13.9390,-5.0641,905.0,0.100000
165000,174,-16.4714,-5.0641,943.6,0.100000
170000,175,-15.1217,-5.0641,967.6,0.100000
175000,176,-13.6283,-5.0641,994.1,0.100000
180000,176,-13.5455,-5.0641,1020.8,0.100000
185000,174,-14.2331,-5.0641,1060.9,0.100000
190000,175,-12.5798,-5.0641,1083.5,0.100000
195000,175,-12.2138,-5.0641,1109.1,0.100000
200000,175,-10.6733,-5.0641,1138.1,0.100000
205000,173,-11.8876,-5.0641,1178.2,0.100000
210000,174,-14.1472,-5.0641,1204.0,0.100000
215000,174,-15.1689,-5.0641,1230.9,0.100000
220000,175,-15.0213,-5.0641,1256.9,0.100000
225000,173,-13.6028,-5.0641,1293.8,0.100000
230000,174,-13.1092,-5.0641,1319.3,0.100000
235000,174,-14.2268,-5.0641,1346.2,0.100000
240000,174,-12.7903,-5.0641,1373.2,0.100000
245000,173,-14.6403,-5.0641,1410.2,0.100000
250000,174,-15.8485,-5.0641,1435.9,0.100000
255000,174,-17.7699,-5.0641,1462.6,0.100000
260000,174,-15.6018,-5.0641,1488.9,0.100000
265000,173,-13.4148,-4.6611,1529.6,0.100000
270000,173,-12.8789,-4.6611,1557.2,0.100000
275000,173,-12.8269,-4.6611,1587.3,0.100000
280000,172,-12.1599,-4.6611,1619.8,0.100000
285000,171,-11.5631,-4.6611,1664.1,0.100000
290000,171,-11.4229,-4.6611,1695.3,0.100000
295000,170,-13.0912,-4.6611,1727.1,0.100000
300000,170,-13.9089,-4.6611,1759.5,0.100000
305000,169,-12.5273,-3.4336,1804.1,0.100000
310000,168,-12.8133,-3.4336,1835.0,0.100000
315000,168,-9.0765,-3.4336,1866.4,0.100000
320000,168,-9.3372,-3.4336,1901.2,0.100000
325000,166,-9.7709,-3.4336,1952.3,0.100000
330000,166,-10.1806,-3.4336,1987.9,0.100000
335000,165,-11.0668,-3.4336,2023.3,0.100000
340000,165,-11.9056,-3.4336,2056.0,0.100000
345000,164,-13.0440,-3.4336,2099.9,0.100000
350000,164,-11.7592,-3.4336,2132.0,0.100000
355000,164,-10.9860,-3.4336,2162.2,0.100000
360000,164,-11.8391,-3.4336,2191.5,0.100000
365000,163,-13.6558,-3.4336,2237.6,0.100000
370000,163,-12.1714,-3.4336,2267.9,0.100000
375000,163,-9.6362,-3.4336,2299.8,0.100000
380000,162,-10.2533,-3.4336,2336.1,0.100000
385000,161,-11.9359,-3.4336,2389.6,0.100000
390000,161,-12.4085,-3.4336,2421.5,0.100000
395000,161,-11.5724,-3.4336,2451.0,0.100000
400000,161,-13.9667,-3.4336,2472.2,0.100000
405000,161,-13.3546,-3.4336,2500.2,0.100000
410000,162,-11.8672,-3.4336,2516.1,0.100000
415000,163,-9.3463,-3.4336,2534.6,0.100000
420000,163,-10.6626,-3.4336,2561.4,0.100000
